site,workload,mode,conc,throughtput,latency50pct,latency90pct,latency99pct,fastpath_count,coordinatoraccept_count,original_count
10c1s3r1p,rw_1,copilot_plus,70,3706.1,190.04,209.97,223.31,1,10,74111
10c1s3r1p,rw_1000,mencius_plus,1,240.7,40.21,40.28,150.44,4755,0,59
20c1s3r1p,rw_1000,mencius_plus,3,1253.2,40.25,40.83,151.15,23336,22,1706
20c1s3r1p,rw_1000,mencius_plus,150,,,,,,,
20c1s3r1p,rw_1000000,paxos_plus,3,1489.05,40.27,40.38,40.6,29780,0,1
10c1s3r1p,rw_1000000,copilot_plus,20,4893.6,40.79,41.14,41.71,97854,0,18
20c1s3r1p,rw_1000000,copilot_plus,70,18611.65,71.04,101.84,135.85,370466,3,1764
10c1s3r1p,rw_1000,paxos_plus,6,1251.55,40.23,40.4,151.07,23273,18,1740
10c1s3r1p,rw_1000,mencius_plus,50,,,,,,,
20c1s3r1p,rw_1000000,paxos_plus,200,26398.3,126.25,288.12,449.18,469372,0,58594
10c1s3r1p,rw_1000000,paxos_plus,70,15313.5,44.13,49.17,54.83,306032,0,238
20c1s3r1p,rw_1000000,paxos_plus,20,9672.05,40.99,41.93,43.89,193375,0,66
10c1s3r1p,rw_1000,paxos_plus,1,239.55,40.21,40.27,150.51,4724,0,67
20c1s3r1p,rw_1000,paxos_plus,3,1245.85,40.23,40.42,151.06,23122,20,1775
10c1s3r1p,rw_1000,mencius_plus,6,1234.75,40.24,41.12,151.26,22832,28,1835
10c1s3r1p,rw_1000,paxos_plus,100,10419.65,48.03,157.01,164.07,107043,4409,96941
20c1s3r1p,rw_1000000,none_mencius,70,2280.35,575.82,1062.09,1466.88,,,
10c1s3r1p,rw_1,copilot_plus,30,1705.2,176.69,194.22,210.13,2,8,34094
20c1s3r1p,rw_1000000,none_copilot,150,15790.95,197.09,223.14,244.7,,,
20c1s3r1p,rw_1000,mencius_plus,50,2137.25,325.58,1153.01,1355.46,13333,396,29016
20c1s3r1p,rw_1000000,mencius_plus,30,13728.35,42.6,47.03,51.88,274393,0,174
10c1s3r1p,rw_1000000,mencius_plus,60,13635.75,42.85,45.98,51.31,272528,0,187
20c1s3r1p,rw_1000000,mencius_plus,120,,,,,,,
20c1s3r1p,rw_1,paxos_plus,90,10540.5,169.75,185.3,203.96,13,109,210688
20c1s3r1p,rw_1000000,none_paxos,100,11055.0,183.61,217.32,226.43,,,
10c1s3r1p,rw_1,mencius_plus,90,,,,,,,
20c1s3r1p,rw_1,mencius_plus,120,,,,,,,
10c1s3r1p,rw_1000000,paxos_plus,20,4895.65,40.78,41.11,41.68,97891,0,22
20c1s3r1p,rw_1000000,paxos_plus,70,21515.35,66.11,72.14,82.22,429398,7,902
20c1s3r1p,rw_1000,mencius_plus,100,,,,,,,
10c1s3r1p,rw_1000000,copilot_plus,70,14829.6,45.53,52.48,58.9,296350,1,241
20c1s3r1p,rw_1000000,copilot_plus,20,9639.8,41.03,42.57,45.63,192719,0,77
20c1s3r1p,rw_1000000,none_paxos,150,15072.3,201.59,231.88,267.48,,,
10c1s3r1p,rw_1000000,mencius_plus,1,248.5,40.24,40.31,40.4,4970,0,0
20c1s3r1p,rw_1000,copilot_plus,120,11932.85,203.69,235.03,286.0,10041,74,228542
20c1s3r1p,rw_1000000,none_mencius,20,1213.1,336.26,534.31,616.46,,,
10c1s3r1p,rw_1000000,mencius_plus,6,1487.7,40.3,40.51,40.76,29753,0,1
20c1s3r1p,rw_1,copilot_plus,50,5209.25,192.03,214.07,232.3,2,8,104175
10c1s3r1p,rw_1000000,copilot_plus,100,16873.15,58.86,69.84,87.86,336983,2,478
20c1s3r1p,rw_1000000,mencius_plus,60,19550.5,62.66,68.53,74.28,390311,3,696
10c1s3r1p,rw_1000000,mencius_plus,30,7281.95,41.03,41.53,42.5,145589,0,50
20c1s3r1p,rw_1000000,none_paxos,50,7489.5,132.91,156.14,171.3,,,
20c1s3r1p,rw_1000000,none_copilot,100,12233.35,165.79,197.47,224.86,,,
10c1s3r1p,rw_1,copilot_plus,60,3218.15,186.86,206.32,226.2,2,7,64354
10c1s3r1p,rw_1000,mencius_plus,40,1934.95,159.14,471.71,651.27,17032,257,21410
20c1s3r1p,rw_1000000,paxos_plus,100,25895.0,76.83,95.04,115.53,516247,11,1642
10c1s3r1p,rw_1000000,copilot_plus,30,7247.8,41.16,41.79,43.08,144916,0,40
20c1s3r1p,rw_1000000,copilot_plus,60,18417.55,63.92,82.46,110.55,367665,1,685
10c1s3r1p,rw_1000000,paxos_plus,60,13603.4,42.94,46.53,51.03,271884,0,184
20c1s3r1p,rw_1000000,paxos_plus,30,13757.15,42.55,46.81,51.91,274956,1,186
20c1s3r1p,rw_1000000,none_paxos,200,17164.05,240.29,268.37,307.69,,,
